well_position	broad_sample	solvent
A01	BRD-K80935598-001-01-1	DMSO
A02	BRD-K85776940-001-01-9	DMSO
A03	BRD-K25611237-001-02-1	DMSO
A04	BRD-K66430217-001-03-8	DMSO
A05	BRD-K38627885-001-01-9	DMSO
A06	BRD-K67578145-001-09-7	DMSO
A07	BRD-K16803204-001-01-6	DMSO
A08	BRD-K00818915-003-01-8	DMSO
A09	BRD-K19477839-001-07-6	DMSO
A10	BRD-K97452254-001-01-3	DMSO
A11		DMSO
A12	BRD-K63631219-001-01-6	DMSO
A13	BRD-K98203492-003-04-1	DMSO
A14	BRD-K12737986-001-01-4	DMSO
A15	BRD-K64881305-001-05-2	DMSO
A16	BRD-K99433989-001-02-9	DMSO
A17	Compound2	DMSO
A18	BRD-K93942811-001-01-3	DMSO
A19	BRD-K70446295-001-01-7	DMSO
A20	BRD-K45909031-001-01-5	DMSO
A21	Compound8	DMSO
A22	BRD-K94455792-001-01-8	DMSO
A23	BRD-K84937637-001-11-5	DMSO
A24	BRD-K44227013-001-08-0	DMSO
B01	BRD-K13094524-001-04-2	DMSO
B02	BRD-K36234266-001-09-8	DMSO
B03	BRD-K99433989-001-02-9	DMSO
B04	BRD-K61688984-001-02-9	DMSO
B05	BRD-K33818169-003-04-6	DMSO
B06	BRD-K12737986-001-01-4	DMSO
B07	BRD-K60130390-001-02-1	DMSO
B08	BRD-K72898849-001-01-8	DMSO
B09	BRD-K32730239-001-01-0	DMSO
B10	BRD-K19871656-001-01-3	DMSO
B11	BRD-K67772619-001-05-1	DMSO
B12	BRD-K33818169-003-04-6	DMSO
B13	BRD-K56301217-001-07-4	DMSO
B14	BRD-K83192048-050-03-5	DMSO
B15	BRD-K67578145-001-09-7	DMSO
B16	BRD-K57080016-001-01-9	DMSO
B17	BRD-K73397362-001-06-6	DMSO
B18		DMSO
B19	BRD-K21728777-001-02-3	DMSO
B20	BRD-K83607951-001-02-2	DMSO
B21	BRD-K70642949-001-04-5	DMSO
B22	BRD-K28132190-001-02-0	DMSO
B23	BRD-K66401437-001-03-3	DMSO
B24	BRD-K82164249-001-03-5	DMSO
C01	BRD-K72951360-001-01-4	DMSO
C02	BRD-K83607951-001-02-2	DMSO
C03	BRD-K56932272-001-02-9	DMSO
C04	BRD-K03063480-001-06-6	DMSO
C05	BRD-K88677950-001-03-9	DMSO
C06	Compound1	DMSO
C07	BRD-K50055394-001-03-6	DMSO
C08	BRD-A78210457-001-01-5	DMSO
C09	BRD-K83192048-050-03-5	DMSO
C10	BRD-K76908866-001-07-6	DMSO
C11	BRD-K06883221-001-01-9	DMSO
C12	BRD-M87138257-003-01-1	DMSO
C13	BRD-K75009076-001-02-1	DMSO
C14	BRD-K49669041-001-08-4	DMSO
C15	Compound7	DMSO
C16	BRD-K20290250-001-02-1	DMSO
C17	BRD-K06182768-001-06-4	DMSO
C18	BRD-K73982490-001-02-9	DMSO
C19	BRD-K91900765-001-08-4	DMSO
C20	BRD-K61688984-001-02-9	DMSO
C21	BRD-K67772619-001-05-1	DMSO
C22	BRD-K24600306-003-02-9	DMSO
C23	BRD-K53665955-001-03-0	DMSO
C24	BRD-K87632963-001-05-9	DMSO
D01	BRD-K12737986-001-01-4	DMSO
D02	BRD-K32730239-001-01-0	DMSO
D03	Compound5	DMSO
D04	BRD-K53665955-001-03-0	DMSO
D05	BRD-K93942811-001-01-3	DMSO
D06	BRD-K87632963-001-05-9	DMSO
D07	BRD-K45909031-001-01-5	DMSO
D08	BRD-A87435144-001-01-6	DMSO
D09	BRD-K85606544-001-09-1	DMSO
D10	BRD-K01826510-300-06-9	DMSO
D11	BRD-K44227013-001-08-0	DMSO
D12	BRD-K91900765-001-08-4	DMSO
D13	BRD-K82164249-001-03-5	DMSO
D14	BRD-K68756823-001-07-1	DMSO
D15	BRD-K23383398-001-09-9	DMSO
D16	BRD-K50055394-001-03-6	DMSO
D17		DMSO
D18	BRD-K38627885-001-01-9	DMSO
D19		DMSO
D20	Compound1	DMSO
D21	Compound1	DMSO
D22	BRD-K56301217-001-07-4	DMSO
D23	BRD-K72951360-001-01-4	DMSO
D24	Compound4	DMSO
E01	BRD-K82164249-001-03-5	DMSO
E02	BRD-K82164249-001-03-5	DMSO
E03	BRD-K86718786-001-03-9	DMSO
E04	BRD-K86718786-001-03-9	DMSO
E05	BRD-K09372874-001-01-0	DMSO
E06	BRD-K09372874-001-01-0	DMSO
E07		DMSO
E08		DMSO
E09	BRD-K68756823-001-07-1	DMSO
E10	BRD-K68756823-001-07-1	DMSO
E11	BRD-K66401437-001-03-3	DMSO
E12	BRD-K66401437-001-03-3	DMSO
E13	BRD-A87435144-001-01-6	DMSO
E14	BRD-K98203492-003-04-1	DMSO
E15	BRD-K01826510-300-06-9	DMSO
E16	BRD-K64881305-001-05-2	DMSO
E17	BRD-K54759182-003-08-0	DMSO
E18	Compound2	DMSO
E19	BRD-K85606544-001-09-1	DMSO
E20	BRD-K70446295-001-01-7	DMSO
E21	BRD-K99092662-001-01-1	DMSO
E22	Compound8	DMSO
E23	BRD-K99113996-001-02-0	DMSO
E24	BRD-K84937637-001-11-5	DMSO
F01	BRD-K72898849-001-01-8	DMSO
F02	BRD-K85606544-001-09-1	DMSO
F03	BRD-K06182768-001-06-4	DMSO
F04	BRD-K75009076-001-02-1	DMSO
F05	BRD-K36234266-001-09-8	DMSO
F06	BRD-K24600306-003-02-9	DMSO
F07		DMSO
F08	BRD-K99433989-001-02-9	DMSO
F09	Compound8	DMSO
F10	BRD-K64881305-001-05-2	DMSO
F11	BRD-K53665955-001-03-0	DMSO
F12	Compound5	DMSO
F13	BRD-K56932272-001-02-9	DMSO
F14	BRD-K09372874-001-01-0	DMSO
F15	BRD-K76908866-001-07-6	DMSO
F16	BRD-K21728777-001-02-3	DMSO
F17	BRD-K83607951-001-02-2	DMSO
F18	BRD-K19477839-001-07-6	DMSO
F19	BRD-A22769835-300-05-7	DMSO
F20	BRD-K39520573-001-03-8	DMSO
F21	BRD-K66430217-001-03-8	DMSO
F22	BRD-K76908866-001-07-6	DMSO
F23	BRD-K06883221-001-01-9	DMSO
F24		DMSO
G01	BRD-K83607951-001-02-2	DMSO
G02	BRD-K72951360-001-01-4	DMSO
G03	BRD-K03063480-001-06-6	DMSO
G04	BRD-K56932272-001-02-9	DMSO
G05	Compound1	DMSO
G06	BRD-K88677950-001-03-9	DMSO
G07	BRD-A78210457-001-01-5	DMSO
G08	BRD-K50055394-001-03-6	DMSO
G09	BRD-K76908866-001-07-6	DMSO
G10	BRD-K83192048-050-03-5	DMSO
G11	BRD-M87138257-003-01-1	DMSO
G12	BRD-K06883221-001-01-9	DMSO
G13	BRD-A53576514-048-14-3	DMSO
G14	BRD-K61397605-001-07-5	DMSO
G15	BRD-K12511835-003-01-2	DMSO
G16	BRD-K72898849-001-01-8	DMSO
G17	BRD-K30707190-001-04-1	DMSO
G18	BRD-K13094524-001-04-2	DMSO
G19	BRD-K36234266-001-09-8	DMSO
G20		DMSO
G21	BRD-K33818169-003-04-6	DMSO
G22	Compound3	DMSO
G23		DMSO
G24	BRD-K32730239-001-01-0	DMSO
H01	BRD-K84937637-001-11-5	DMSO
H02	Compound7	DMSO
H03	BRD-K54759182-003-08-0	DMSO
H04	BRD-K44227013-001-08-0	DMSO
H05	BRD-K70446295-001-01-7	DMSO
H06	BRD-K53972329-001-07-0	DMSO
H07	Compound7	DMSO
H08	BRD-K24696047-001-02-3	DMSO
H09	BRD-K19871656-001-01-3	DMSO
H10		DMSO
H11	BRD-K20290250-001-02-1	DMSO
H12	BRD-K61397605-001-07-5	DMSO
H13	Compound6	DMSO
H14	BRD-K66430217-001-03-8	DMSO
H15	BRD-K39520573-001-03-8	DMSO
H16	BRD-K98251413-001-04-0	DMSO
H17	BRD-K80935598-001-01-1	DMSO
H18	BRD-A78210457-001-01-5	DMSO
H19	BRD-K83192048-050-03-5	DMSO
H20	BRD-K72951360-001-01-4	DMSO
H21	BRD-K50055394-001-03-6	DMSO
H22	BRD-A12994259-001-02-1	DMSO
H23	BRD-K97452254-001-01-3	DMSO
H24	BRD-K67578145-001-09-7	DMSO
I01	BRD-K85776940-001-01-9	DMSO
I02	BRD-K80935598-001-01-1	DMSO
I03	BRD-K66430217-001-03-8	DMSO
I04	BRD-K25611237-001-02-1	DMSO
I05	BRD-K67578145-001-09-7	DMSO
I06	BRD-K38627885-001-01-9	DMSO
I07	BRD-K00818915-003-01-8	DMSO
I08	BRD-K16803204-001-01-6	DMSO
I09	BRD-K97452254-001-01-3	DMSO
I10	BRD-K19477839-001-07-6	DMSO
I11	BRD-K63631219-001-01-6	DMSO
I12		DMSO
I13		DMSO
I14	BRD-K75009076-001-02-1	DMSO
I15	BRD-K53972329-001-07-0	DMSO
I16	Compound7	DMSO
I17	BRD-K19871656-001-01-3	DMSO
I18	BRD-K06182768-001-06-4	DMSO
I19	BRD-K60130390-001-02-1	DMSO
I20	BRD-K91900765-001-08-4	DMSO
I21	BRD-K24696047-001-02-3	DMSO
I22	BRD-K67772619-001-05-1	DMSO
I23	Compound5	DMSO
I24	BRD-K53665955-001-03-0	DMSO
J01		DMSO
J02	Compound8	DMSO
J03	BRD-K61397605-001-07-5	DMSO
J04	BRD-K20290250-001-02-1	DMSO
J05	BRD-A87435144-001-01-6	DMSO
J06	BRD-K60130390-001-02-1	DMSO
J07	BRD-K61688984-001-02-9	DMSO
J08	BRD-K45909031-001-01-5	DMSO
J09	BRD-K30707190-001-04-1	DMSO
J10	BRD-K84937637-001-11-5	DMSO
J11	BRD-K99092662-001-01-1	DMSO
J12	BRD-K49669041-001-08-4	DMSO
J13	Compound4	DMSO
J14	BRD-K02965346-001-07-5	DMSO
J15	BRD-K86718786-001-03-9	DMSO
J16	BRD-K70642949-001-04-5	DMSO
J17	BRD-K85776940-001-01-9	DMSO
J18	BRD-K00818915-003-01-8	DMSO
J19	BRD-K16803204-001-01-6	DMSO
J20	BRD-K04923131-001-15-4	DMSO
J21		DMSO
J22	BRD-K23383398-001-09-9	DMSO
J23	BRD-K98251413-001-04-0	DMSO
J24	BRD-K16189898-003-03-3	DMSO
K01	Compound6	DMSO
K02	BRD-A22769835-300-05-7	DMSO
K03	BRD-K16189898-003-03-3	DMSO
K04	BRD-A12994259-001-02-1	DMSO
K05	BRD-K13606314-001-01-3	DMSO
K06	BRD-K57080016-001-01-9	DMSO
K07	BRD-K21728777-001-02-3	DMSO
K08	BRD-K70642949-001-04-5	DMSO
K09	Compound4	DMSO
K10	BRD-K28132190-001-02-0	DMSO
K11	BRD-K56301217-001-07-4	DMSO
K12	BRD-K04923131-001-15-4	DMSO
K13	BRD-K12737986-001-01-4	DMSO
K14	BRD-A53576514-048-14-3	DMSO
K15	BRD-K99433989-001-02-9	DMSO
K16	BRD-K12511835-003-01-2	DMSO
K17	BRD-K93942811-001-01-3	DMSO
K18	BRD-K30707190-001-04-1	DMSO
K19	BRD-K45909031-001-01-5	DMSO
K20	BRD-K36234266-001-09-8	DMSO
K21	BRD-K94455792-001-01-8	DMSO
K22	BRD-K33818169-003-04-6	DMSO
K23	BRD-K44227013-001-08-0	DMSO
K24		DMSO
L01	BRD-K49669041-001-08-4	DMSO
L02	BRD-K30707190-001-04-1	DMSO
L03	BRD-K01826510-300-06-9	DMSO
L04	BRD-A53576514-048-14-3	DMSO
L05	BRD-K73982490-001-02-9	DMSO
L06	BRD-K99092662-001-01-1	DMSO
L07	BRD-A53576514-048-14-3	DMSO
L08	BRD-K73982490-001-02-9	DMSO
L09	BRD-K24600306-003-02-9	DMSO
L10	Compound2	DMSO
L11	BRD-K87632963-001-05-9	DMSO
L12	BRD-K54759182-003-08-0	DMSO
L13	BRD-K16189898-003-03-3	DMSO
L14	BRD-K88677950-001-03-9	DMSO
L15	BRD-K04923131-001-15-4	DMSO
L16	BRD-K97452254-001-01-3	DMSO
L17	BRD-K03063480-001-06-6	DMSO
L18	BRD-K86718786-001-03-9	DMSO
L19	BRD-K68756823-001-07-1	DMSO
L20	BRD-K80935598-001-01-1	DMSO
L21	BRD-K88677950-001-03-9	DMSO
L22	BRD-K25611237-001-02-1	DMSO
L23	BRD-A78210457-001-01-5	DMSO
L24	BRD-K56932272-001-02-9	DMSO
M01	BRD-K23383398-001-09-9	DMSO
M02	BRD-K23383398-001-09-9	DMSO
M03	BRD-K39520573-001-03-8	DMSO
M04	BRD-K39520573-001-03-8	DMSO
M05		DMSO
M06		DMSO
M07	BRD-K73397362-001-06-6	DMSO
